01 空一
02 东风
03 何处
04 人间
05 风流
06 归去
07 春风
08 西风
09 归来
10 江南
11 相思
12 梅花
13 千里
14 回首
15 明月
16 多少
17 如今
18 阑干
19 年年
20 万里
21 一笑
22 黄昏
23 当年
24 天涯
25 相逢
26 芳草
27 尊前
28 一枝
29 风雨
30 流水
31 依旧
32 风吹
33 风月 461
34 多情 457
35 故人 451
36 当时 450
37 无人 445
38 斜阳 438
39 不知 430
40 不见 429
41 深处 422
42 时节 403
43 平生 398
44 凄凉 398
45 春色 394
46 匆匆 383
47 功名 383
48 一点 378
49 无限 377
50 今日 369
51 天上 368
52 杨柳 362
53 西湖 356
54 桃花 354
55 扁舟 353
56 消息 351
57 憔悴 344
58 何事 339
59 芙蓉 338
60 神仙 334
61 一片 334
62 桃李 333
63 人生 332
64 十分 331
65 心事 329
66 黄花 328
67 一声 325
68 佳人 324
69 长安 321
70 东君 319
71 断肠 316
72 而今 315
73 鸳鸯 314
74 为谁 313
75 十年 310
76 去年 309
77 少年 308
78 海棠 307
79 寂寞 306
80 无情 306
81 不是 305
82 时候 304
83 肠断 303
84 富贵 303
85 蓬莱 303
86 昨夜 303
87 行人 302
88 今夜 301
89 谁知 300
90 不似 299
91 江上 298
92 悠悠 296
93 几度 295
94 青山 295
95 何时 294
96 天气 293
97 惟有 293
98 一曲 291
99 月明 291
10 往事 290

